Label,grouped,count,member,url1,url2,url3,,Original Group,Reason
insurance waiver,"insurance waiver,insurance contact,insurance details,insurance card,insurance plans,insurance claim,insurance cover policy,insurance policies,insurance premium,insurance coverage,insurance waiver details,mmr coverage in insurance,varicella covered in insurance,affiliated insurances,insurance duration,insurance mail id,insurance coverage for emergencies,payment plan for insurance,travel aboard insurance cost,insurance waiver plan,insurance requirements,aetna insurance cost,insurance process,insurance settlement ratio",24,,,,,,,
covid vaccine requirements,"covid vaccine requirements,vaccine status,vaccine,vaccines,details about mandatory vaccines,mmr vaccine support,varicella vaccine support,cost of covid vaccine,covid vaccine stock,types of covid vaccine,vaccine clinic schedule,list of accepted vaccines,vaccines etc",13,,,,,,,
medical care,"medical care,medical appointment,medical,health center,address of medical center,medical care and services,health care facilities,review medical records,physician details,hospital hotline,hospital contact number",12,,,,,,,
emergency health center phone number,"emergency health center phone number,emergency contact number,emergency number,check for emergency contacts and hotline numbers,emergency care number,emergency hotline number,dps emergency hotline number,emergency hospital contact, usc health hotline, usc health hotline number, usc health hotline, usc health hotline number, emergency hospital contact",10,Nitish,,,,,,Added Hotline Numbers
health center phone number,"student health office contact details, health center phone number,usc health number,information regarding health insurance status,health center,health insurance,usc health insurance,usc health contact number,usc health customer care number, hospital contact number, health center phone number, hospital contact number,",10,,,,,,,
usc health number,"usc health number,information regarding health insurance status,health center,health insurance,health care facilities,usc health insurance,usc health contact number,usc health customer care number",10,,,,,,,
hospital near me,"hospital near me,nearest hospital,contact number of hospitals near me,address of medical center,if the hospital near me is open or if the doctor is available,nearest hospital and number,hospital address on map,hospital hotline,hospital contact number",9,,,,,,,
ltc,"ltc,aetna,covid centre s,covid,yes,myshr,waiver,ent,icu",9,,,,,,,
medical appointment,"medical appointment,address of medical center,medical centre email,mail address for the hospital,hospital hotline,hospital contact number,mail address for hospital support,mail address for doctors",8,,,,,,,
immunizations,"immunizations,immunization requirements,immunization  requirements,immunisation requirements,immunization,medical immunization waiver,mandatory immunizations",7,Nitish,,,,,,
medical centre email,"medical centre email,mail address for the hospital,hospital hotline,hospital contact number,mail address for hospital support,customer call helpline for hospital,mail address for doctors",7,,,,,,,
nothing as such,"nothing as such,none,never search it,nope,nothing,no n,no",7,,,,,,,
ambulance number,"ambulance number,ambulance numbers,ambulance availability,ambulance,ambulance services",6,Nitish,,,,,"ambulance number,emergency care number,ambulance numbers,ambulance availability,ambulance,ambulance services",Removed emergency care number
covid pop up testing,"covid pop up testing,covid testing,available appointment  time for covid testing,covid regulations and covid testing appointments,covid testing centers,covid testing program details",6,Nitish,,,,,,
dental coverage,"dental coverage,dental services,dental plan covered in insurance,dental plan details,nearest dentist,dental",6,Nitish,,,,,,
immunization requirements,"immunization requirements,immunization  requirements,immunisation requirements,immunization requirements deadline,immunization deadlines,immunization requirements and schedule",6,Nitish,,,,,,
student health fee,"student health fee,usc student health immunization form,usc student health plan for new students",6,Nitish,,,,,"student health fee,usc student health line,usc student health immunization form,usc student health plan for new students,student health office contact details,student health insurance office contact","Removed USC Student Health Line, student health office contact details"
emergency,"emergency,emergency contact number,emergency number,emergency care number,emergency hotline number,emergency care number",5,Nitish,,,,,"emergency,emergency contact number,emergency number,emergency care number,emergency hotline number",Added emergency care number
hotline number,"hotline number,contact number,hotline numbers,emergency hotline number,dps emergency hotline number",5,Nitish,,,,,,
nearest clinic,"nearest clinic,nearest hospital,nearest health centre,nearest health center,nearest hospital and number",5,Nitish,,,,,,
nearest health centre,"nearest health centre,health center,nearest health center,health care facilities,health centre nearby landmarks, nearest health centre",5,Nitish,,,,,,
appointment booking number,"appointment booking number,appointment",4,Nitish,,,,,,Removed COVID Appointment related details
covid appointments,"covid appointments,booking covid appointment,appointment,covid appointment, covid appointment, booking covid appointment",4,Nitish,,,,,,Added COVID Appointment related details
health center,"health center,health care facilities,health desk,health care professional numbers",4,Nitish,,,,,,
hospital timings,"hospital timings,health center hours,hospital hotline",4,Nitish,,,,,,
usc student health  well  phone number,"usc student health well phone number, usc student health line, usc student health line, student health office contact details,student health insurance office contact,student health insurance office contact",4,Nitish,,,,,"usc student health  well  phone number,usc student health line,student health office contact details,student health insurance office contact","Added USC Student Health Line, ,student health insurance office contact"
vaccination requirements,"vaccination requirements,vaccinations,covid vaccination,vaccination",4,,,,,,,
vaccinations,"vaccinations,vaccinations completed,covid vaccination,vaccination",4,,,,,,,
covid rules and regulations,"covid rules and regulations,covid rules,covid regulations, covid rules and regulations",3,Nitish,,,,,,
covid screening appointment,"covid screening appointment,covid test appointment booking,booking covid appointment",3,,,,,,,
covid testing,"covid testing,tests,preparing for the test",3,,,,,,,
doctor s details for specific diseases,"doctor s details for specific diseases,medical care and services,physician details",3,,,,,,,
emergency care number,"emergency care number,usc emergency care,emergency hospital contact",3,Nitish,,,,,,
engemann phone number,"engemann phone number,contact number,address and phone number",3,,,,,,,
immunization requirements deadline,"immunization requirements deadline,immunization deadlines,immunization requirements and schedule",3,Nitish,,,,,,
information regarding health insurance status,"information regarding health insurance status,if health center is in my insurers network,details about health insurance plan through aetna",3,,,,,,,
it s expense with the services provided,"it s expense with the services provided,cost of service,cost of services",3,,,,,,,
medical care and testing services,"medical care and testing services,medical care and services,review medical records",3,,,,,,,
mmr hcp number,"mmr hcp number,hcp number   varicella,hcp provider number",3,,,,,,,
rules and regulations,"rules and regulations,regulations",3,Nitish,,,,,,
services offered,"services offered,available services,services provided",3,,,,,,,
aetna helpline number,"aetna helpline number,helpline number",2,,,,,,,
best service provider in terms of health care,best service provider in terms of health care,2,,,,,,,
contact us,"contact us,contact",2,,,,,,,
covid bed availability,"covid bed availability,quarentine beds",2,,,,,,,
covid centre s,"covid centre s,center contact details",2,,,,,,,
covid guidelines,"covid guidelines,covid regulations",2,,,,,,,
covid mask regulations,"covid mask regulations,covid regulations",2,,,,,,,
covid pop up site address,"covid pop up site address,covid appointment",2,Nitish,,,,,,
covid regulations and covid testing appointments,"covid regulations and covid testing appointments,covid compliance and testing requirement",2,,,,,,,
customer care contact,"customer care contact,customer care",2,,,,,,,
flu vaccine requirements,"flu vaccine requirements,covid vaccine requirements",2,,,,,,,
health care facilities,"health care facilities,basic requirements regarding person health",2,,,,,,,
health center email,"health center email,medical centre email",2,,,,,,,
hotline available for 24 x 7,"hotline available for 24 x 7,24 7 helpline number",2,,,,,,,
mail address for hospital support,"mail address for hospital support,customer call helpline for hospital",2,,,,,,,
mental health services,"mental health services,workshops for mental health",2,,,,,,,
nearest hospital,"nearest hospital,nearest hospital and quick remedies",2,Nitish,,,,,,
preliminary requirements for any test etc,"preliminary requirements for any test etc,preparing for the test",2,,,,,,,
rt pcr test centres near me,"rt pcr test centres near me,covid testing centers",2,,,,,,,
service and lab,"service and lab,lab location",2,,,,,,,
student requirements,"student requirements,what forms to fill in student portal",2,,,,,,,
tb mandatory,"tb mandatory,tb covered",2,,,,,,,
911,911,1,,,,,,,
bcg vaccine good enough for tuberculosis,bcg vaccine good enough for tuberculosis,1,,,,,,,
bed availibilities,bed availibilities,1,,,,,,,
benefit and rider,benefit and rider,1,,,,,,,
booster doses,booster doses,1,,,,,,,
can we contact doctors directly,can we contact doctors directly,1,,,,,,,
career fairs amidst covid,career fairs amidst covid,1,,,,,,,
cashless or reimbursement,cashless or reimbursement,1,,,,,,,
challenges and support without immunizations,challenges and support without immunizations,1,Nitish,,,,,,
check all the rules and coverage for the plan,check all the rules and coverage for the plan,1,,,,,,,
check if my details are properly updated,check if my details are properly updated,1,,,,,,,
common allergy faqs,common allergy faqs,1,,,,,,,
copay amount,copay amount,1,,,,,,,
cost of various medical problems to students from abroad,cost of various medical problems to students from abroad,1,,,,,,,
coverage,coverage,1,,,,,,,
coverage of procedure,coverage of procedure,1,,,,,,,
covid death recovery rates,covid death recovery rates,1,,,,,,,
covid pop up timings,covid pop up timings,1,Nitish,,,,,,
covid restrictions,covid restrictions,1,,,,,,,
covid side effects,covid side effects,1,,,,,,,
covid symptoms,covid symptoms,1,,,,,,,
current trend,current trend,1,,,,,,,
date of new student orientation,date of new student orientation,1,,,,,,,
diagnosis and treatment post covid,diagnosis and treatment post covid,1,,,,,,,
different packages available,different packages available,1,,,,,,,
disease covered in the plan,disease covered in the plan,1,,,,,,,
dps area and watch timings,dps area and watch timings,1,,,,,,,
dps support number,dps support number,1,,,,,,,
eligibility criteria,eligibility criteria,1,,,,,,,
emergency tips when received first degree burns,emergency tips when received first degree burns,1,,,,,,,
free medical test centre,free medical test centre,1,,,,,,,
general check up,general check up,1,,,,,,,
getting started on myshr,getting started on myshr,1,,,,,,,
group counseling charges,group counseling charges,1,,,,,,,
helpline timings,helpline timings,1,,,,,,,
how can i make my insurance waived,how can i make my insurance waived,1,,,,,,,
immunization and covid 19 vaccine requirements,immunization and covid 19 vaccine requirements,1,,,,,,,
in network doctors,in network doctors,1,,,,,,,
instructions after exposure to positive patient,instructions after exposure to positive patient,1,,,,,,,
insurance total cost for student,insurance total cost for student,1,,,,,,,
international students health requirements,international students health requirements,1,,,,,,,
lab emergency number,lab emergency number,1,Nitish,,,,,,
lab results include what all details,lab results include what all details,1,,,,,,,
lab tests covered in insurance,lab tests covered in insurance,1,,,,,,,
login portal for parents,login portal for parents,1,,,,,,,
masking policy,masking policy,1,,,,,,,
masking rules,masking rules,1,,,,,,,
mmr doses duration,mmr doses duration,1,,,,,,,
mostly rules of insurance and number to contact,mostly rules of insurance and number to contact,1,,,,,,,
myshr login details,myshr login details,1,,,,,,,
nearby hospital for students,nearby hospital for students,1,,,,,,,
nearest emergency centers,nearest emergency centers,1,Nitish,,,,,,
nearest heath centre and emergency contact number,nearest heath centre and emergency contact number,1,Nitish,,,,,,
needlestick hotline,needlestick hotline,1,,,,,,,
new student resources,new student resources,1,,,,,,,
new variants,new variants,1,,,,,,,
number of covid cases etc,number of covid cases etc,1,,,,,,,
orientation location,orientation location,1,,,,,,,
oxygen suppliers near to me,oxygen suppliers near to me,1,,,,,,,
pathology,pathology,1,,,,,,,
patient privacy protocols,patient privacy protocols,1,,,,,,,
payments terms pre payment amounts etc,payments terms pre payment amounts etc,1,,,,,,,
pop testing 3 0 timings,pop testing 3 0 timings,1,,,,,,,
precautions,precautions,1,,,,,,,
resources for parents,resources for parents,1,,,,,,,
sexual assault help,sexual assault help,1,,,,,,,
skincare treatment cost,skincare treatment cost,1,,,,,,,
steps to take after being assaulted,steps to take after being assaulted,1,,,,,,,
tb test procedure,tb test procedure,1,,,,,,,
terms and condition,terms and condition,1,,,,,,,
testing using antigen kits,testing using antigen kits,1,,,,,,,
things allowed to carry,things allowed to carry,1,,,,,,,
timings for dermatologist,timings for dermatologist,1,,,,,,,
total cost of immunizations,total cost of immunizations,1,Nitish,,,,,,
transgender care,transgender care,1,,,,,,,
trojan check,trojan check,1,,,,,,,
trojan learn modules,trojan learn modules,1,,,,,,,
tuberculosis cost,tuberculosis cost,1,,,,,,,
undegraduate health requirements,undegraduate health requirements,1,,,,,,,
usc covid19 hotline number,usc covid19 hotline number,1,Nitish,,,,,,
usc student well being,usc student well being,1,,,,,,,
varicella mandatory,varicella mandatory,1,,,,,,,
waiting time for the services,waiting time for the services,1,,,,,,,
we re here to answer your questions,we re here to answer your questions,1,,,,,,,
weekly pop testing locations,weekly pop testing locations,1,,,,,,,
where to fill the waiver form,where to fill the waiver form,1,,,,,,,